N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"66,050","하락 1,750",-2.58%,100,"3,909,921","5,919,638",50.24,"13,867,253",12.80,9.03
2,SK하이닉스,"267,750","하락 4,750",-1.74%,"5,000","1,949,226","728,002",55.16,"2,142,169",7.50,31.06
3,LG에너지솔루션,"334,000","상승 3,000",+0.91%,500,"781,560","234,000",4.21,"219,282",-67.15,-4.93
4,삼성바이오로직스,"1,041,000","상승 2,000",+0.19%,"2,500","740,921","71,174",12.96,"24,386",57.91,10.45
5,한화에어로스페이스,"912,000","하락 7,000",-0.76%,"5,000","470,258","51,563",43.90,"104,872",18.44,53.94
6,삼성전자우,"54,800","하락 1,300",-2.32%,100,"447,154","815,975",74.09,"1,231,458",10.62,N/A
7,KB금융,"114,000","하락 1,000",-0.87%,"5,000","434,867","381,462",77.80,"379,357",7.91,8.86
8,현대차,"205,500","하락 3,500",-1.67%,"5,000","420,777","204,758",35.92,"301,386",4.48,12.43
9,두산에너빌리티,"63,900","하락 4,500",-6.58%,"5,000","409,319","640,561",24.34,"8,296,091",-401.89,1.52
10,셀트리온,"180,000","하락 1,200",-0.66%,"1,000","400,367","222,426",21.46,"270,298",83.29,2.46
11,기아,"97,700","하락 1,600",-1.61%,"5,000","388,526","397,673",39.24,"402,700",4.17,19.09
12,NAVER,"236,500","하락 3,500",-1.46%,100,"374,704","158,437",44.64,"576,802",20.65,7.90
13,HD현대중공업,"415,500","하락 9,500",-2.24%,"5,000","368,852","88,773",11.00,"99,641",42.05,11.39
14,신한지주,"68,100",하락 900,-1.30%,"5,000","330,622","485,495",60.06,"448,665",7.48,8.11
15,삼성물산,"172,200","하락 2,000",-1.15%,100,"292,700","169,977",27.12,"267,304",13.75,6.83
16,현대모비스,"292,000","하락 7,000",-2.34%,"5,000","268,042","91,795",43.45,"90,459",6.43,9.35
17,삼성생명,"131,400","하락 1,200",-0.90%,500,"262,800","200,000",21.63,"125,402",12.40,6.18
18,POSCO홀딩스,"321,000","하락 6,000",-1.83%,"5,000","259,795","80,933",30.01,"294,477",31.21,2.00
19,하나금융지주,"91,200",하락 700,-0.76%,"5,000","259,668","284,724",67.49,"312,986",6.88,9.11
20,한화오션,"84,400",보합 0,0.00%,"5,000","258,613","306,413",12.45,"1,473,958",37.33,11.52
21,HMM,"24,300",하락 100,-0.41%,"5,000","249,085","1,025,039",6.96,"718,875",4.79,15.35
22,카카오,"56,250",하락 650,-1.14%,100,"248,633","442,014",28.12,"862,094",162.57,0.56
23,한국전력,"37,475",상승 325,+0.87%,"5,000","240,576","641,964",19.46,"3,690,788",4.58,9.22
24,HD한국조선해양,"335,000","하락 6,000",-1.76%,"5,000","237,090","70,773",32.68,"134,125",16.03,11.16
25,삼성화재,"461,000",하락 500,-0.11%,500,"212,111","46,011",55.50,"59,391",11.77,13.11
26,메리츠금융지주,"117,400","하락 1,800",-1.51%,500,"211,337","180,014",15.66,"117,434",9.61,23.44
27,현대로템,"193,300","하락 6,500",-3.25%,"5,000","210,972","109,142",31.80,"466,605",41.45,21.85
28,SK스퀘어,"157,400","하락 4,000",-2.48%,100,"208,619","132,541",53.32,"203,360",4.25,21.70
29,LG화학,"289,000","상승 2,000",+0.70%,"5,000","204,012","70,592",31.21,"325,432",-24.19,-2.11
30,우리금융지주,"24,850",하락 100,-0.40%,"5,000","184,534","742,592",46.66,"1,086,611",6.41,9.39
31,SK이노베이션,"114,100",하락 800,-0.70%,"5,000","172,331","151,035",13.73,"136,036",-5.64,-9.65
32,HD현대일렉트릭,"476,500","하락 18,500",-3.74%,"5,000","171,765","36,047",35.36,"166,770",30.58,39.34
33,삼성중공업,"19,300",하락 100,-0.52%,"1,000","169,840","880,000",32.10,"5,704,304",116.27,1.77
34,크래프톤,"352,250","하락 1,250",-0.35%,100,"166,938","47,392",43.25,"33,139",12.72,21.10
35,KT&G,"136,200",하락 700,-0.51%,"5,000","166,249","122,062",43.05,"98,320",15.34,12.66
36,고려아연,"827,000","하락 7,000",-0.84%,"5,000","165,592","20,023",12.24,"6,465",69.50,2.28
37,기업은행,"20,050",하락 200,-0.99%,"5,000","159,884","797,426",14.01,"529,106",5.98,8.06
38,SK,"213,500","상승 1,000",+0.47%,200,"154,793","72,503",24.74,"162,796",17.38,-5.64
39,삼성SDI,"182,600","하락 3,200",-1.72%,"5,000","147,149","80,586",27.81,"365,149",124.98,3.13
40,KT,"57,000",상승 400,+0.71%,"5,000","143,652","252,022",49.00,"161,503",22.70,2.85
41,카카오뱅크,"29,200",하락 450,-1.52%,"5,000","139,281","476,989",16.79,"386,459",29.86,6.95
42,삼성에스디에스,"178,300","하락 5,000",-2.73%,500,"137,965","77,378",18.30,"171,132",18.21,8.42
43,LIG넥스원,"588,000","하락 42,000",-6.67%,"5,000","129,360","22,000",31.43,"149,303",52.72,19.59
44,LG,"80,100",보합 0,0.00%,"5,000","125,958","157,251",34.82,"136,871",15.85,2.16
45,LG전자,"76,700",상승 100,+0.13%,"5,000","125,518","163,648",29.44,"730,561",20.05,1.81
46,SK텔레콤,"56,300",상승 400,+0.72%,100,"120,927","214,790",39.31,"337,147",9.58,10.83
47,포스코퓨처엠,"150,500","하락 5,900",-3.77%,500,"116,582","77,463",10.49,"512,098",-53.87,-7.98
48,미래에셋증권,"20,150",하락 250,-1.23%,"5,000","114,919","570,316",12.43,"1,746,684",14.77,7.94
49,하이브,"273,500","하락 2,500",-0.91%,500,"113,918","41,652",20.01,"118,052",217.75,0.31
50,HD현대,"136,900",하락 300,-0.22%,"1,000","108,142","78,993",23.63,"75,534",20.60,6.36
